CryptDestroyKey                   ADVAPI32
RegQueryInfoKeyW                  ADVAPI32 Truy lục thông tin về registry key chỉ định
GetUserNameW                      ADVAPI32 Truy lục người dùng được liên kết với thread hiện tại
CryptDecrypt                      ADVAPI32
CryptImportKey                    ADVAPI32
CryptAcquireContextA              ADVAPI32
CryptSetKeyParam                  ADVAPI32
RegSetValueExW                    ADVAPI32
RegCloseKey                       ADVAPI32
RegOpenKeyExW                     ADVAPI32
RegQueryValueExW                  ADVAPI32
RegQueryValueExA                  ADVAPI32
0040A030         RegCreateKeyExW                   ADVAPI32
0040A034         CryptHashData                     ADVAPI32
0040A038         CryptDestroyHash                  ADVAPI32
0040A03C         CryptCreateHash                   ADVAPI32
0040A040         CryptReleaseContext               ADVAPI32
0040A044         CryptAcquireContextW              ADVAPI32
0040A048         CryptGetHashParam                 ADVAPI32
0040A04C         GetLengthSid                      ADVAPI32
0040A050         GetTokenInformation               ADVAPI32
0040A054         OpenProcessToken                  ADVAPI32
0040A058         RegEnumValueW                     ADVAPI32
0040A05C         RegOpenKeyA                       ADVAPI32
0040A060         RegDeleteValueW                   ADVAPI32
0040A068         GetFileSize                       KERNEL32
0040A06C         WriteFile                         KERNEL32
0040A070         CreateFileW                       KERNEL32
0040A074         lstrcpynA                         KERNEL32
0040A078         GetSystemDirectoryW               KERNEL32
0040A07C         SetEvent                          KERNEL32
0040A080         InitializeCriticalSection         KERNEL32
0040A084         Sleep                             KERNEL32
0040A088         CreateEventA                      KERNEL32
0040A08C         InterlockedExchange               KERNEL32
0040A090         QueueUserAPC                      KERNEL32
0040A094         QueueUserWorkItem                 KERNEL32
0040A098         GetCurrentThreadId                KERNEL32
0040A09C         CreateThread                      KERNEL32
0040A0A0         ExitProcess                       KERNEL32
0040A0A4         GetCommandLineW                   KERNEL32
0040A0A8         GetDriveTypeW                     KERNEL32
0040A0AC         SetWaitableTimer                  KERNEL32
0040A0B0         MoveFileExW                       KERNEL32
0040A0B4         CreateDirectoryW                  KERNEL32
0040A0B8         SetThreadExecutionState           KERNEL32
0040A0BC         SleepEx                           KERNEL32
0040A0C0         GetTickCount                      KERNEL32
0040A0C4         GetExitCodeProcess                KERNEL32
0040A0C8         WriteProcessMemory                KERNEL32
0040A0CC         TerminateProcess                  KERNEL32
0040A0D0         GetModuleFileNameW                KERNEL32
0040A0D4         GetCurrentDirectoryW              KERNEL32
0040A0D8         ResetEvent                        KERNEL32
0040A0DC         LoadLibraryA                      KERNEL32
0040A0E0         Process32FirstW                   KERNEL32
0040A0E4         CreateEventW                      KERNEL32
0040A0E8         WaitForMultipleObjects            KERNEL32
0040A0EC         Process32NextW                    KERNEL32
0040A0F0         lstrcmpiW                         KERNEL32
0040A0F4         GetWindowsDirectoryW              KERNEL32
0040A0F8         DeleteFileW                       KERNEL32
0040A0FC         CreateWaitableTimerA              KERNEL32
0040A100         lstrcmpA                          KERNEL32
0040A104         FindFirstFileW                    KERNEL32
0040A108         InterlockedIncrement              KERNEL32
0040A10C         InterlockedDecrement              KERNEL32
0040A110         GetLogicalDriveStringsW           KERNEL32
0040A114         lstrcmpW                          KERNEL32
0040A118         FindClose                         KERNEL32
0040A11C         RemoveDirectoryW                  KERNEL32
0040A120         FindNextFileW                     KERNEL32
0040A124         SetFileAttributesW                KERNEL32
0040A128         GetStartupInfoA                   KERNEL32
0040A12C         GetCurrentProcessId               KERNEL32
0040A130         CloseHandle                       KERNEL32
0040A134         DuplicateHandle                   KERNEL32
0040A138         CreateToolhelp32Snapshot          KERNEL32
0040A13C         GetModuleHandleA                  KERNEL32
0040A140         CreateFileMappingA                KERNEL32
0040A144         Process32Next                     KERNEL32
0040A148         VirtualAllocEx                    KERNEL32
0040A14C         EnterCriticalSection              KERNEL32
0040A150         GetProcAddress                    KERNEL32
0040A154         GetSystemDirectoryA               KERNEL32
0040A158         LeaveCriticalSection              KERNEL32
0040A15C         TerminateThread                   KERNEL32
0040A160         OpenProcess                       KERNEL32
0040A164         CreateRemoteThread                KERNEL32
0040A168         VirtualFree                       KERNEL32
0040A16C         WaitForSingleObject               KERNEL32
0040A170         Process32First                    KERNEL32
0040A174         UnmapViewOfFile                   KERNEL32
0040A178         MapViewOfFile                     KERNEL32
0040A17C         GetVersionExA                     KERNEL32
0040A180         GetLastError                      KERNEL32
0040A184         CreateProcessA                    KERNEL32
0040A188         GetCurrentProcess                 KERNEL32
0040A18C         CreateProcessW                    KERNEL32
0040A190         GetVolumeInformationA             KERNEL32
0040A194         GetComputerNameA                  KERNEL32
0040A198         WideCharToMultiByte               KERNEL32
0040A19C         GetComputerNameW                  KERNEL32
